1st NAME	px   py   pz   pt1   E			2nd NAME	px   py   pz   pt2   E
Z   -4.83872   2.32234   34.8307   5.36716   97.763      Z   -0.332983   7.8389   36.398   7.84597   98.4987
b   -41.1283   -15.1329   15.4225   43.824   46.6471      b   -49.8323   -27.4068   4.40616   56.8717   57.1958
b   -28.4374   23.8712   -2.78265   37.1284   37.4676      b   -32.1126   9.61264   -10.3793   33.5205   35.3399
b   -19.0623   -94.3068   -52.8397   96.214   109.849      b   -62.1773   -4.52717   -4.86092   62.3419   62.6713
b   5.25466   -0.839578   0.533991   5.32131   6.79394      b   55.1576   -12.2908   4.65503   56.5104   56.8564
W   23.2411   -1.11142   15.2113   23.2677   85.0607      W   25.4391   -13.6606   22.9574   28.8749   88.4497
b   -66.5471   28.8019   -2.24611   72.5125   72.6682      b   -19.3443   2.60363   -2.36759   19.5187   20.1033
W   2.08133   -49.209   14.815   49.253   95.4353      W   87.3455   -46.4789   48.6232   98.942   136.442
b   7.11888   -72.321   10.2242   72.6705   73.5057      b   56.1648   -24.9839   17.8748   61.471   64.1541
W   32.1028   19.6223   -18.1551   37.6248   90.5968      W   2.91199   16.9538   -26.4567   17.202   86.3621
b   7.25616   -2.432   25.716   7.65287   27.1557      b   27.7763   -33.1642   71.0228   43.2596   83.2657
b   -5.7984   87.3782   -2.04473   87.5704   87.6945      b   -28.8879   6.97073   -44.9064   29.717   54.0115
W   0.167843   81.0734   29.0049   81.0736   117.8      W   89.5261   13.4726   0.77853   90.5341   121.077
W   82.2671   16.9966   -4.07839   84.0045   116.344      W   9.81606   55.7541   -0.198406   56.6116   98.3233
W   5.53286   56.8759   41.2883   57.1444   106.924      W   9.5776   22.2776   20.2081   24.2491   86.3652
Z   -0.477023   11.7057   42.8459   11.7154   101.433      Z   -5.75865   15.8969   1.85399   16.9078   92.7628
b   59.395   3.33342   14.657   59.4885   61.4106      b   22.9188   57.3274   31.7408   61.739   69.5467
b   -44.83   -35.3626   27.936   57.0985   63.7042      b   -45.489   -15.1339   16.2351   47.9404   50.788
Z   -15.9749   56.3395   -28.2684   58.5606   112      Z   -46.3837   14.6484   -19.1386   48.6418   105.109
Z   -24.7219   -6.8082   -2.02109   25.6422   94.7482      Z   -16.8261   -72.9213   -0.164257   74.8374   117.967
b   75.9409   -38.1839   -40.895   85.0001   94.4192      b   7.02289   -49.0755   -16.3495   49.5755   52.3697
b   -18.1507   -26.5285   -4.49402   32.1435   32.7255      b   -4.03409   -25.2469   -7.54756   25.5671   26.9852
b   -25.257   -2.80904   1.61661   25.4127   25.8065      b   -13.9357   -68.1048   9.86255   69.516   70.337
W   -6.62866   72.6124   -34.8633   72.9143   113.993      W   -13.2314   25.5225   -9.4697   28.7484   85.8993
b   -12.3877   6.80832   -13.147   14.1353   19.7537      b   -0.554995   50.0081   -6.5648   50.0112   50.6139
b   -59.4875   -49.9454   7.29766   77.6743   78.1288      b   -2.48786   -29.193   5.2236   29.2988   30.0543
W   -44.5082   0.162328   35.9495   44.5085   98.6708      W   -19.6106   0.268443   22.2853   19.6124   85.6962
b   7.60032   17.233   -93.7636   18.8345   95.7283      b   89.5729   77.5969   -4.08425   118.51   118.654
W   99.9446   -18.4562   -3.71697   101.634   129.638      W   0.0120926   -0.0680351   -84.9041   0.0691014   116.924
W   10.5621   34.1778   -23.6362   35.7726   91.1093      W   0.617496   10.3993   -36.1575   10.4176   88.7606
b   -1.96781   -13.8847   0.795601   14.0234   14.6576      b   -3.31602   -41.8437   52.6926   41.9749   67.4978
b   -30.6589   -25.7461   10.03   40.0353   41.4848      b   -9.82357   -53.0326   23.2137   53.9347   58.8676
b   6.32353   13.3966   38.9697   14.814   41.9004      b   2.61897   64.0677   6.98521   64.1212   64.6365
b   46.3114   28.659   -73.7672   54.4618   91.7891      b   18.3589   1.59626   -1.15899   18.4282   18.934
b   -47.7585   -14.1396   -35.0723   49.8076   61.0608      b   -45.2706   -4.82377   -42.252   45.5268   62.2533
b   -25.5773   24.5505   2.8509   35.4531   35.8135      b   -14.5071   66.6814   18.3364   68.2412   70.7859
b   2.72097   17.4772   30.1881   17.6878   35.2383      b   7.01717   21.0113   16.5487   22.1521   27.9666
b   22.3425   26.617   46.0372   34.7513   57.8328      b   9.70212   35.5532   8.85149   36.8533   38.1322
