1st NAME	px   py   pz   pt1   E			2nd NAME	px   py   pz   pt2   E
b   -0.626237   2.60937   1.13311   2.68347   5.10304      b   -0.837805   0.495708   17.1364   0.97347   17.668
b   17.7886   17.7852   -9.46683   25.1545   27.2016      b   43.9401   21.1917   -0.750998   48.7834   48.9687
b   -10.0927   47.9865   -26.3387   49.0364   55.8198      b   -3.22966   10.9568   -27.3017   11.4228   29.8901
b   28.6073   -5.40306   1.3663   29.113   29.4447      b   15.427   -84.3396   63.2658   85.7389   106.636
b   -32.6097   6.6582   27.5382   33.2825   43.4008      b   -22.2676   57.2138   58.2788   61.3944   84.754
b   0.724164   7.17761   -23.9035   7.21405   25.3175      b   1.57243   41.8656   -41.539   41.8951   59.146
b   -16.2293   4.86027   8.93685   16.9415   19.6071      b   -8.65776   3.77016   12.6106   9.44304   16.302
b   -3.42293   -5.81399   20.1861   6.74677   21.6923      b   -1.63047   -1.70825   18.9968   2.36147   19.5962
W   -3.92977   -36.3278   -8.19241   36.5398   88.6838      W   -22.1797   -17.0972   -17.0765   28.0045   86.824
b   -10.326   13.5666   23.0586   17.0493   28.9816      b   -67.6835   16.264   10.4886   69.6101   70.5205
b   54.9695   61.2144   0.214852   82.273   82.3799      b   21.0981   34.4758   4.74937   40.4192   40.9124
b   93.1799   -4.63937   75.5706   93.2954   120.135      b   2.2536   -4.5805   5.85701   5.10487   8.82725
b   -56.5385   21.4786   -25.0361   60.4808   65.5919      b   -38.983   51.4499   -61.2024   64.5505   89.0509
W   30.21   -34.1559   91.7729   45.599   130.246      W   66.1755   -0.423935   8.12419   66.1769   104.441
b   38.9679   3.40162   79.5475   39.1161   88.7436      b   8.68882   17.0382   9.39127   19.1258   21.7152
Z   -95.8391   -47.262   23.5773   106.859   142.444      Z   -1.57281   -28.4524   15.302   28.4959   96.7563
b   -18.3942   9.65221   71.4223   20.7729   74.4998      b   -15.3013   63.9641   6.16201   65.7688   66.1896
b   -14.8083   -1.95301   4.68667   14.9366   16.2056      b   -67.5543   -11.351   33.0613   68.5013   76.1776
W   -13.651   13.2629   -21.8978   19.033   85.4653      W   -53.2039   49.432   -12.4594   72.6236   109.05
b   -52.4429   41.2087   29.2812   66.6964   72.9613      b   -40.8559   29.917   10.4956   50.6382   51.8839
b   -20.0731   -49.6989   -2.3068   53.5995   53.8125      b   -69.3342   -6.70666   -5.93123   69.6578   70.0353
b   4.49111   62.8813   -22.7583   63.0415   67.1545      b   67.0228   19.2699   -69.6262   69.738   98.6344
b   24.3737   -69.0337   7.16654   73.2102   73.6793      b   37.5918   -18.8617   8.29181   42.0583   43.0722
b   14.4479   17.3063   -9.98175   22.5444   25.0088      b   12.0735   16.411   -0.326798   20.3738   20.8027
b   -22.8422   55.063   -61.8489   59.613   86.0032      b   -22.3793   23.7171   -22.6187   32.6088   39.906
W   -3.71492   2.34563   3.98115   4.39348   80.6083      W   -2.82328   8.62616   1.59573   9.07643   80.9165
b   14.535   -16.0357   56.2217   21.6428   60.3891      b   31.7104   -0.270529   39.6856   31.7115   50.9718
b   -23.3855   -37.6511   -43.2195   44.3226   62.0481      b   -4.91914   -11.4897   -53.7407   12.4985   55.3338
Z   -77.0511   -74.9844   19.5429   107.515   142.327      Z   -10.6142   -14.5146   2.80026   17.9815   92.9881
b   19.0085   -27.6197   0.0453843   33.5286   33.7895      b   11.8544   -24.7436   12.3251   27.4367   30.3683
b   4.84136   -65.2194   -21.4607   65.3988   68.9574      b   24.3921   -31.8499   -34.6173   40.1172   53.1536
b   -35.2973   -14.5435   -56.3781   38.176   68.2162      b   -16.1618   -85.1073   -15.747   86.6283   88.1475
Z   -23.2407   -49.9748   -33.9704   55.1145   111.836      Z   -28.0034   -25.2715   -58.5995   37.7205   114.771
b   8.66673   13.5841   20.7067   16.1134   26.57      b   0.831123   8.54821   6.59133   8.58852   11.6088
b   52.0734   -30.6154   30.0319   60.4065   67.5901      b   23.0894   -54.1244   19.3412   58.8436   62.0823
Z   0.329788   71.7721   1.2073   71.7729   116.054      Z   1.15585   1.3392   92.2575   1.76902   129.731
Z   -4.1276   -60.4299   0.340334   60.5707   109.474      Z   -61.5151   -38.1165   7.77765   72.3669   116.675
W   -19.5757   -3.18816   21.9647   19.8336   85.6643      W   -5.16528   -62.4644   44.6182   62.6776   111.274
W   4.26537   -5.02101   55.1991   6.58817   97.7389      W   0.734016   -7.86532   22.7674   7.89949   83.9244
b   13.6383   23.4617   28.8304   27.1377   39.8146      b   19.0589   59.8848   34.0854   62.8445   71.6156
b   59.8652   -3.48868   -23.158   59.9668   64.4194      b   14.4335   -87.1859   -18.9342   88.3725   90.4752
W   2.16627   -1.33905   82.5846   2.54672   115.279      W   4.79658   -0.237163   1.56953   4.80243   80.5486
W   2.35435   -53.0325   5.54052   53.0848   96.4948      W   80.6463   -4.95353   11.8012   80.7983   114.587
b   -67.545   -15.9573   -35.066   69.4043   77.8726      b   -15.3306   -32.6182   -24.5844   36.0413   43.8283
W   -34.2376   38.5582   -7.39789   51.565   95.7926      W   -37.5834   42.1527   -2.90275   56.4744   98.287
b   -6.61066   3.00828   -71.3258   7.26296   71.8169      b   -9.62727   53.984   -9.4249   54.8358   55.7974
Z   -43.0689   -7.98065   3.47069   43.802   101.224      Z   -2.04254   -82.3584   2.68549   82.3837   122.922
b   5.34347   60.1143   -62.2919   60.3513   86.8338      b   5.79227   7.90665   -23.871   9.80131   26.1428
b   6.93932   6.15541   68.3013   9.27595   69.0555      b   12.1741   27.5286   13.0113   30.1003   33.0587
b   0.689759   -5.41634   -3.34092   5.46008   7.65051      b   36.9793   -7.05368   -6.51859   37.646   38.4353
W   -15.4688   18.0559   -16.4644   23.7761   85.4338      W   -33.8734   46.5726   -70.4941   57.5883   121.443
b   -55.8422   -59.7636   3.99467   81.7926   81.9973      b   -18.3544   -5.09995   0.874961   19.0498   19.5248
b   8.25014   1.70309   -7.89775   8.42409   12.284      b   6.18726   19.9052   -53.5267   20.8447   57.5949
b   0.845266   -80.5717   -12.6769   80.5761   81.6748      b   12.0154   -13.9416   -27.216   18.4048   33.1211
b   79.3866   -2.23834   45.6296   79.4181   91.6889      b   14.0139   -80.7651   33.4665   81.9718   88.6394
b   -19.6652   -56.6388   -41.9393   59.9556   73.288      b   -19.4606   -32.1789   -24.3407   37.6059   44.9914
W   8.44634   41.8384   -2.88911   42.6825   91.0642      W   0.741979   24.7965   -6.1467   24.8076   84.3549
b   71.5497   -34.9009   29.233   79.608   84.9092      b   1.7926   -10.0386   0.707123   10.1974   11.0473
b   26.6535   -10.9125   -26.4398   28.8009   39.3206      b   42.2872   -12.8268   -3.05622   44.1898   44.4931
b   13.3863   -35.559   17.4598   37.9952   42.0243      b   43.9699   -34.0258   5.74442   55.5977   56.0505
W   1.79546   -1.69946   37.264   2.47222   88.6412      W   66.9273   -14.9071   16.8639   68.5674   106.997
W   26.9444   2.89127   -24.1204   27.0991   88.197      W   70.3257   7.2102   -45.009   70.6943   116.129
b   62.2854   -58.7554   -16.2894   85.6252   87.2615      b   29.4363   -16.0944   -16.3728   33.5489   37.5653
b   -74.5304   13.4816   0.983359   75.7399   75.8621      b   -2.11266   18.6586   16.3186   18.7779   25.2282
W   47.6118   24.9211   -58.0653   53.7396   112.792      W   49.4001   5.19317   -3.80531   49.6723   94.5747
b   55.132   -13.7701   2.70606   56.8256   57.0441      b   22.4992   -68.6193   25.5636   72.2137   76.7194
b   -20.6086   27.6729   36.2438   34.5037   50.2163      b   -2.01534   20.9443   27.4536   21.0411   34.8422
b   -5.82472   -34.1204   2.42936   34.614   34.9512      b   -13.6568   -48.7228   9.87871   50.6006   51.7258
W   25.1838   -1.89399   14.1197   25.2549   85.4385      W   61.3565   -15.1745   1.41716   63.2051   102.271
b   30.4954   13.4753   -65.5381   33.3399   73.6501      b   46.4228   1.38548   -32.3224   46.4435   56.7388
W   0.0091258   -31.7334   -0.662269   31.7334   86.4292      W   0.0246953   -11.6559   -2.25567   11.6559   81.2619
Z   -2.74429   25.2511   2.43166   25.3998   94.6925      Z   -24.7338   25.1709   2.75224   35.2893   97.8188
W   -0.322614   33.1665   4.04242   33.168   87.0575      W   -49.4654   55.5641   46.0194   74.3922   118.805
b   -63.8693   -12.1533   35.7451   65.0153   74.3119      b   -2.7064   -17.9193   4.53859   18.1225   19.1463
b   -4.02286   -35.5537   -35.6606   35.7806   50.6901      b   -75.6901   -50.8386   -21.7173   91.1787   93.823
b   -4.46627   -16.1243   -6.55247   16.7314   18.4508      b   -30.5422   -7.29242   -0.993174   31.4007   31.6946
b   -59.3257   37.6992   -14.9768   70.2906   71.9905      b   -30.0197   17.5057   -7.99725   34.751   35.9047
W   49.858   -4.45527   -9.32824   50.0567   95.159      W   17.4887   -17.8082   -37.0195   24.9597   91.9564
b   1.9531   -25.8505   9.84522   25.9242   28.0455      b   10.5689   -2.9018   22.2328   10.96   25.1391
b   -42.7542   -62.213   61.4487   75.4876   97.4263      b   -15.5511   -22.5051   22.3559   27.3554   35.5761
Z   41.6324   31.7248   -19.2697   52.3423   106.896      Z   57.9714   29.9132   -11.1464   65.2341   112.674
b   -32.4591   11.6836   -11.7059   34.4979   36.67      b   -29.6188   2.63835   -84.1459   29.736   89.3438
Z   8.38101   6.86303   -14.0187   10.8325   92.895      Z   9.22913   5.57968   -24.9117   10.7847   95.1447
Z   3.20424   -18.9362   -45.7369   19.2054   103.809      Z   0.163735   -36.0521   -1.8784   36.0524   98.0761
b   -70.8746   23.4805   -57.1789   74.6629   94.1357      b   -25.5468   8.71183   -31.123   26.9914   41.4093
b   -16.8645   87.4616   30.6736   89.0727   94.2994      b   -82.7382   10.2954   15.9609   83.3762   84.9936
b   -31.6746   3.35432   -59.0875   31.8517   67.2564      b   -33.2819   0.223422   -38.8065   33.2827   51.2956
b   39.5285   45.3665   -10.3074   60.1716   61.1917      b   7.77988   44.5133   -0.199443   45.188   45.3823
b   -4.01514   -49.4331   -1.82857   49.5959   49.8061      b   -76.5915   -8.09407   -58.0399   77.018   96.5296
b   -33.0685   -7.00708   0.87274   33.8027   34.0726      b   -45.8513   -4.4919   0.612008   46.0708   46.265
W   17.6812   -21.0555   -8.99756   27.4947   85.4369      W   2.74968   -3.57744   -71.3226   4.51208   107.563
W   1.02342   17.8892   3.17851   17.9184   82.424      W   0.0955189   1.51495   55.9201   1.51796   97.9383
b   -0.605298   -5.57245   -29.7985   5.60523   30.6092      b   -0.249584   -21.0459   -45.2982   21.0474   50.1246
b   -10.069   28.1719   -14.9326   29.9172   33.6983      b   -16.456   0.0354347   -4.58963   16.456   17.5904
b   5.22486   -17.9012   -29.737   18.6481   35.3497      b   65.514   -9.52684   -40.7845   66.2031   77.8703
b   12.9883   4.4866   25.8209   13.7413   29.5483      b   27.072   14.816   68.5056   30.8611   75.2528
W   30.6282   -38.6768   52.0579   49.3354   107.734      W   22.9986   -26.5853   24.7934   35.1528   91.1756
W   24.2331   2.86706   -2.60057   24.4022   84.0522      W   21.6739   67.4504   -72.0867   70.8472   129.145
b   -3.2902   61.0759   10.4553   61.1644   62.1929      b   -34.8088   32.4837   46.7136   47.6114   66.8324
b   -44.5314   48.9991   -28.7847   66.2115   72.3193      b   -11.2352   22.728   -27.0624   25.3533   37.3192
W   -1.59515   -5.04812   74.6417   5.29415   109.827      W   -17.0071   -6.47792   19.8991   18.1991   84.7923
b   0.445488   30.1294   55.108   30.1327   62.9478      b   4.8074   48.1208   29.28   48.3604   56.6886
W   32.575   38.5014   17.3572   50.433   96.4744      W   39.6355   0.138321   76.6571   39.6357   117.94
b   -35.0933   -7.34379   18.3048   35.8535   40.4733      b   -12.5848   -0.620839   13.9102   12.6001   19.2305
b   -9.29693   11.1028   6.77126   14.4812   16.5261      b   -11.7227   59.0951   71.2122   60.2467   93.3724
b   16.0345   17.8901   -14.6853   24.0242   28.4671      b   58.8736   65.9307   -3.25314   88.391   88.55
b   54.3229   -5.06445   -0.00671408   54.5585   54.7191      b   19.8063   -74.6813   -11.0702   77.2631   78.1646
b   -3.81802   1.65913   -10.8453   4.16293   12.3494      b   -1.33974   1.18154   -32.7457   1.78632   33.0609
b   71.66   11.8883   -2.98331   72.6394   72.8213      b   6.76659   26.7257   -23.8754   27.569   36.7102
W   26.3836   39.4723   -7.02285   47.4779   93.6271      W   63.005   11.9594   -66.7205   64.13   122.584
b   -77.2728   9.84656   48.0523   77.8976   91.6222      b   -13.0601   66.1337   28.3938   67.4109   73.2666
Z   9.73934   52.4771   35.1895   53.3732   111.367      Z   19.3767   27.6052   49.971   33.7269   109.317
W   -49.7656   1.55574   -10.095   49.7899   95.0973      W   -20.7275   0.224661   -13.7032   20.7287   84.1428
b   21.5892   -22.9459   -28.9172   31.5057   42.9694      b   70.78   -52.9369   -48.021   88.3863   100.676
b   -4.16148   2.51246   14.6766   4.86111   16.0184      b   -25.5405   18.1112   74.2907   31.3103   80.728
W   15.5178   -2.68018   -11.4727   15.7475   82.7174      W   18.4871   -39.672   -7.03232   43.768   91.8022
W   70.8561   7.49324   10.2259   71.2513   107.907      W   22.669   38.7001   32.607   44.8506   97.6594
b   37.086   -36.3217   40.5213   51.9099   65.9861      b   29.0246   -18.2505   9.14767   34.2856   35.7315
b   -48.2095   -25.1512   -12.4696   54.3759   55.9445      b   -21.3797   -32.6001   -56.4843   38.9854   68.7597
b   -8.17527   11.0153   -17.4776   13.7176   22.6096      b   -27.1855   10.3085   -66.2684   29.0743   72.4871
b   -36.642   -3.98723   38.882   36.8583   53.7392      b   -14.7396   -14.3759   41.5987   20.5893   46.6039
b   10.9042   -19.3695   -56.2989   22.2279   60.6729      b   7.26156   -13.0543   -8.45388   14.938   17.6683
W   23.184   -7.26017   0.588687   24.2942   83.9828      W   50.3322   -3.63523   38.8874   50.4633   102.574
b   -6.19566   6.5903   0.279158   9.04535   9.97258      b   -9.0108   7.73872   0.208933   11.8778   12.5969
b   -2.98635   -50.3655   1.36855   50.454   50.6462      b   -8.31421   -9.86102   19.8847   12.8983   24.0691
b   9.88431   50.2843   -36.8411   51.2465   63.2537      b   14.7456   22.019   -36.5796   26.5004   45.364
W   8.16976   -8.842   -1.46997   12.0385   81.2997      W   38.2115   -76.1352   -10.5249   85.1862   117.601
W   -59.0401   35.592   -51.9957   68.9385   117.977      W   -14.0344   8.62202   -22.2025   16.4713   85.0106
b   -0.0166912   -8.14555   -14.4309   8.14557   17.0926      b   -1.03478   -24.9514   -2.8403   24.9729   25.4807
b   -5.15015   -67.8996   3.58324   68.0947   68.3175      b   -57.0287   -16.5463   31.4505   59.3806   67.3257
b   3.59906   68.0264   11.6563   68.1215   69.2385      b   33.0927   21.7866   78.2221   39.6205   87.7841
b   1.73492   -41.8599   -65.7405   41.8958   78.0682      b   19.3455   -54.2459   -14.9522   57.5922   59.6489
b   -14.0577   -3.19732   38.0926   14.4167   40.9444      b   -30.36   -40.6711   2.9796   50.753   51.0128
W   20.0214   -40.3989   48.6651   45.088   104.229      W   67.2066   -48.3253   3.93403   82.7771   115.456
b   0.377153   -46.8246   -0.968332   46.8261   47.0232      b   54.8051   -24.8557   -9.12099   60.1781   61.0094
b   -14.7724   -2.85925   -2.12411   15.0466   15.7629      b   -2.86263   -23.8648   -33.1744   24.0359   41.1804
W   -0.291228   11.1342   15.902   11.138   82.7011      W   -0.291581   83.3216   0.703419   83.3221   115.783
W   -10.668   -14.7984   -4.18774   18.2428   82.5402      W   -20.6852   -22.4049   -1.28116   30.4936   85.9887
W   -37.7775   -5.37031   -1.01831   38.1573   88.992      W   -17.9684   -20.4299   -97.7492   27.2074   129.452
W   15.1347   -45.3418   -73.2688   47.801   118.81      W   2.05117   -1.487   -3.24081   2.53347   80.4952
b   -49.9692   15.4346   73.2865   52.2987   90.1312      b   -14.8324   2.48878   24.1514   15.0398   28.7583
b   29.8003   39.6926   14.6649   49.6342   51.9247      b   32.537   22.1713   13.7439   39.3728   41.9126
b   -24.7064   1.21706   1.51613   24.7364   25.1345      b   -5.81029   1.85108   14.2762   6.09803   16.0795
b   53.2242   70.2951   2.79195   88.1715   88.3152      b   24.3874   25.3751   22.2932   35.1943   41.871
b   57.6538   3.73711   32.0935   57.7748   66.2229      b   28.838   27.9858   16.6326   40.185   43.6925
b   -41.2174   -58.493   -3.67181   71.5564   71.7729      b   -35.4089   -37.5734   -2.0002   51.629   51.8373
W   79.428   -68.3494   -17.6384   104.788   133.245      W   2.12214   -28.1141   -32.7406   28.1941   91.2656
b   35.0048   -1.00161   -10.2187   35.0191   36.7194      b   52.0899   -25.8287   -4.99041   58.1419   58.5059
b   45.9535   -0.00757935   0.553212   45.9535   46.1475      b   47.4844   -0.359074   3.44294   47.4858   47.7945
Z   -20.6177   -2.75007   -6.51621   20.8003   93.7589      Z   -25.4283   -0.025172   -2.96124   25.4283   94.7153
b   17.011   33.8353   38.708   37.8709   54.3145      b   29.5316   60.3361   51.9516   67.1756   85.024
b   0.290222   38.5694   10.0323   38.5704   40.0735      b   1.12111   10.0413   70.2618   10.1037   71.1081
W   -8.18248   31.1737   19.5783   32.2297   88.7954      W   -29.1898   7.90326   58.4753   30.2408   103.906
b   46.8968   59.0211   67.2793   75.3843   101.128      b   22.6902   3.70375   21.0108   22.9905   31.4256
b   -63.68   7.28829   -23.9678   64.0957   68.5585      b   -34.1806   10.5259   -58.2997   35.7646   68.5239
b   0.162848   -29.948   -22.041   29.9484   37.4202      b   0.453669   -58.718   -12.9901   58.7198   60.2853
b   56.9347   -1.43369   -8.80159   56.9527   57.7809      b   9.36186   -28.1846   -1.25518   29.6987   30.0191
b   2.39277   32.4723   -21.7102   32.5603   39.3581      b   9.14378   16.3889   -12.7541   18.7671   23.0743
b   -3.75317   -11.6407   -31.7733   12.2308   34.3029      b   -59.5137   -39.8925   -2.09973   71.647   71.8001
W   -25.8179   -56.8664   12.7829   62.4528   102.598      W   -33.7111   -31.9223   31.7826   46.4271   98.1232
b   -7.45016   -82.7079   -25.0586   83.0427   86.8423      b   -13.3642   -11.7375   -35.6568   17.7868   40.0666
b   -7.82065   21.9999   25.9478   23.3487   35.1568      b   -52.7597   12.4704   67.9445   54.2134   87.0236
b   3.40907   -21.9481   1.46717   22.2113   22.6506      b   8.25358   -21.5732   18.2445   23.0982   29.7312
b   -4.91217   51.2187   -8.5511   51.4537   52.3274      b   -67.1558   28.3158   -45.3225   72.8814   85.9266
b   39.4148   -1.36364   -0.00400153   39.4384   39.6604      b   10.2712   -2.00581   -1.29075   10.4653   11.3465
b   2.72293   -17.3296   11.7599   17.5422   21.5309      b   19.43   -55.3272   47.0002   58.6398   75.2675
b   -29.2258   -7.76721   -11.7159   30.2403   32.7001      b   -23.008   -30.9924   -7.86753   38.5992   39.615
b   11.1778   -6.23953   -12.2485   12.8014   18.206      b   56.1824   -49.809   -3.93877   75.0827   75.3026
W   -12.8689   -11.154   44.8404   17.03   93.6122      W   -50.36   -9.34577   33.6767   51.2199   101.095
b   -55.019   -50.0742   0.463281   74.3943   74.5137      b   -38.0785   -32.9846   0.551978   50.3781   50.5551
b   23.3679   -69.7413   -10.2918   73.5521   74.3868      b   71.83   -6.24834   -11.9504   72.1012   73.2049
Z   -36.0495   -27.7027   5.34819   45.4644   102.035      Z   -3.78851   -6.61645   25.2431   7.62431   94.9261
W   -27.2278   -48.6117   -30.1047   55.7175   102.339      W   -31.1507   -8.4851   -4.04269   32.2856   86.7252
b   10.802   -0.0716733   -34.0947   10.8023   36.0096      b   1.52215   -2.38724   -40.5464   2.83123   40.8605
W   -48.0467   5.58029   -1.15743   48.3697   93.827      W   -36.006   55.0673   -12.3183   65.794   104.609
b   -17.5398   46.8783   -36.5224   50.0522   62.102      b   -10.9105   26.3109   -54.9333   28.4834   62.0204
b   16.2134   -12.9507   -26.8812   20.7507   34.2162      b   2.9022   -30.998   -23.0544   31.1335   38.9661
b   -0.506642   -6.18967   46.7148   6.21038   47.3117      b   -21.5162   -73.9311   5.78291   76.9984   77.3289
Z   -8.00492   15.7903   -4.592   17.7034   93.006      Z   -10.7661   42.9885   -28.4572   44.3161   105.306
b   21.7936   15.8198   54.1405   26.9301   60.6134      b   18.789   35.6118   5.0047   40.2644   40.79
b   -19.9528   -0.911138   52.2843   19.9736   56.1262      b   -78.5448   -85.9194   35.4364   116.411   121.757
b   -57.2435   65.3743   25.8562   86.8943   90.7563      b   -7.97548   17.0016   55.8682   18.7793   59.0888
b   11.6315   -17.0971   -20.7229   20.6786   29.5736      b   19.4922   -19.5778   -7.57222   27.6267   28.9505
b   -8.24429   37.4215   15.8547   38.3189   41.6805      b   -47.6973   56.4922   76.0885   73.9351   106.176
W   -36.0795   9.25948   -5.26099   37.2487   88.7564      W   -22.1525   57.1533   -24.5088   61.2963   104.021
b   -18.9633   -0.117993   -13.7464   18.9636   23.7937      b   -30.7461   -0.225513   -46.6067   30.747   55.9921
W   13.2143   8.54089   21.8236   15.7342   84.7725      W   23.0567   9.23944   13.5415   24.839   85.2227
W   -3.50158   7.12145   0.953971   7.93575   80.7864      W   -71.9868   1.16683   2.7177   71.9963   107.951
b   26.5736   10.8276   -0.196531   28.6949   28.9998      b   5.01785   19.3836   -2.05011   20.0225   20.5587
b   13.8993   10.5838   7.14433   17.4702   19.3341      b   13.1754   13.5274   3.63956   18.8833   19.682
b   -1.55096   5.46752   -70.1102   5.68324   70.4648      b   -40.183   2.01469   -7.77583   40.2334   41.1916
b   44.6284   -19.6983   34.7427   48.7823   60.0361      b   14.268   -56.1928   4.38936   57.9759   58.2926
b   3.264   1.67888   0.373697   3.67047   5.58284      b   88.1773   8.4509   7.29128   88.5813   88.9796
b   -62.1956   -28.1767   -33.3502   68.2804   76.1052      b   -3.01893   -32.5186   -6.059   32.6584   33.479
b   72.4854   2.30764   -2.38921   72.5221   72.6824      b   9.63927   12.9836   -5.73967   16.1706   17.6632
b   -2.30599   3.90147   -3.15492   4.53201   6.93172      b   -11.9562   67.3288   -37.2205   68.3821   77.9682
W   38.4162   -69.5731   26.681   79.4747   116.149      W   45.294   -13.9415   29.4513   47.391   97.8562
b   -18.8058   -17.0657   42.8741   25.3948   50.0064      b   -22.7021   -37.6296   8.47902   43.9474   44.9535
W   51.9743   -21.8151   44.8762   56.3669   107.952      W   22.0157   -54.078   53.2724   58.3877   112.737
b   15.0054   -17.0546   -75.8021   22.716   79.2435      b   11.2116   -9.48942   -8.67032   14.6884   17.5636
W   2.90727   29.176   10.7586   29.3205   86.2438      W   1.87003   15.984   40.4271   16.093   91.4105
W   67.7323   -30.4802   -24.0242   74.2745   112.055      W   1.98696   -21.5899   -72.1435   21.6812   110.169
b   13.5917   -70.8843   79.9044   72.1756   107.757      b   40.1791   -7.67474   13.691   40.9055   43.3389
b   10.2418   36.1711   1.00335   37.5931   37.8392      b   11.238   13.4422   82.6202   17.521   84.5614
W   14.4662   -6.07301   -40.2592   15.6893   91.2661      W   15.282   -11.4188   -0.391903   19.0769   82.6234
b   -2.83168   -24.5616   60.5127   24.7243   65.5029      b   -3.24746   -40.8592   14.4922   40.988   43.6761
b   16.7445   42.8721   17.6395   46.026   49.4682      b   4.842   19.8751   78.0688   20.4564   80.8131
b   19.0147   -43.7085   83.4341   47.6654   96.1811      b   80.143   -32.431   11.075   86.4562   87.2633
W   30.2843   39.8421   -79.8251   50.0453   123.851      W   21.1351   30.4895   -14.3248   37.0985   89.6886
b   -27.8584   23.589   34.5233   36.5038   50.4177      b   -34.3319   21.398   41.4029   40.4543   58.0371
b   -31.7527   4.18991   25.2609   32.0279   41.0056      b   -31.5015   8.62498   16.5429   32.6609   36.8505
W   12.0431   -0.716295   -43.0424   12.0643   91.9823      W   25.9922   -0.249403   -8.6153   25.9934   84.926
W   20.7379   19.5265   12.1191   28.4841   86.1439      W   13.9999   50.6342   73.4525   52.534   120.903
W   44.4855   74.0944   18.1311   86.4231   119.416      W   22.4153   20.2342   32.5995   30.1972   91.854
b   -18.0487   43.7777   1.7295   47.3523   47.5688      b   -16.6391   17.5784   28.3437   24.2045   37.5071
W   23.9215   33.4844   -12.5371   41.1514   91.1766      W   14.8287   27.5399   -27.6232   31.2784   90.5756
W   -11.192   -18.0702   5.44412   21.2555   83.3306      W   -34.0811   -1.01255   33.7056   34.0962   93.6011
b   -16.5533   -4.64901   -19.1518   17.1937   26.0763      b   -39.9174   -24.3051   -53.8493   46.7348   71.4244
b   4.67635   -47.9412   -6.12928   48.1687   48.7376      b   31.0844   -19.4481   -34.1585   36.667   50.2875
b   -26.3727   27.0237   8.97132   37.7598   39.0364      b   -5.54584   25.5961   2.30674   26.19   26.6232
b   9.0206   87.52   64.9179   87.9837   109.421      b   87.5025   6.95061   3.01575   87.7782   87.9298
b   -1.45476   1.60848   -20.2515   2.16876   20.7938      b   -13.7719   0.283119   -6.38688   13.7748   15.751
b   38.0075   30.6373   15.7251   48.8182   51.4592      b   15.8289   13.736   8.91578   20.9578   23.1577
Z   -8.96527   89.0268   -24.1717   89.4771   130.023      Z   -26.2964   8.95313   -17.2254   27.7787   96.871
b   82.9708   -23.1461   25.47   86.1388   89.9231      b   13.5908   -8.36402   20.7304   15.9583   26.4948
b   13.8651   -65.5561   -67.4521   67.0063   95.1692      b   7.09872   -16.4747   -22.2494   17.939   28.8859
W   15.5264   25.4865   24.9671   29.8435   89.3115      W   71.371   68.492   39.5076   98.919   133.448
W   0.217023   2.44003   -2.0042   2.44966   80.4523      W   8.77697   7.52122   -1.52019   11.5587   81.2309
W   52.7911   23.1287   -40.0628   57.6354   106.721      W   36.5302   0.342182   -10.0333   36.5318   88.8695
b   -25.5862   -12.0245   -3.01532   28.2709   28.7383      b   -23.7671   -13.1507   -5.59065   27.1627   28.0468
b   -22.1405   -46.7399   -0.716373   51.7187   51.8931      b   -27.8864   -2.80627   -7.37964   28.0273   29.2838
b   -32.7521   79.0476   -10.4647   85.5641   86.3034      b   -2.00311   1.18893   -26.6125   2.32938   27.0409
W   25.269   -31.1005   -34.6081   40.0719   96.2602      W   7.57508   -14.7075   -26.7044   16.5436   86.3097
W   3.91567   -4.80706   79.1544   6.20002   112.989      W   76.8964   -27.5286   17.7126   81.6755   115.962
b   70.7652   26.3456   -53.9519   75.5102   92.8987      b   21.6667   22.095   -2.23875   30.9457   31.3082
b   10.8983   -4.09709   -3.60994   11.6429   12.8898      b   44.0448   -0.132556   -13.4468   44.045   46.2421
W   -38.4047   41.0979   -11.7318   56.2491   98.8137      W   -48.5268   19.3424   -17.8419   52.2396   97.5185
b   -3.67227   36.125   5.05067   36.3112   36.8994      b   -29.2623   0.542774   0.550996   29.2673   29.5708
Z   9.27507   24.3029   -30.8004   26.0127   99.7043      Z   79.6395   40.2006   -24.3123   89.2106   129.866
b   5.52572   74.6428   6.14982   74.847   75.216      b   6.99457   9.659   26.3734   11.9256   29.2461
W   12.7417   -15.7567   -3.73772   20.2638   82.9888      W   11.0762   -1.46645   -41.8046   11.1729   91.2963
W   8.09464   14.4568   38.8892   16.5687   90.8264      W   8.08176   23.6625   57.3385   25.0046   101.86
b   7.42419   1.8818   5.47263   7.65896   10.3037      b   0.193238   11.739   72.9139   11.7406   73.9719
b   40.9013   46.2052   13.4532   61.7077   63.296      b   17.4805   17.5523   30.8146   24.772   39.7586
b   12.9549   -56.6746   5.89393   58.1364   58.5844      b   12.6745   -20.38   55.0786   23.9997   60.2262
W   12.1075   -31.1162   -89.4976   33.3888   124.849      W   42.5685   -6.29335   -3.11669   43.0312   91.2357
b   -69.2597   36.5273   -2.3371   78.3016   78.4485      b   -0.525856   9.02864   -2.43581   9.04395   10.2607
Z   -19.8393   47.7282   -52.4015   51.6873   117.188      Z   -14.0161   42.4033   -22.6561   44.6598   104.036
b   12.5836   87.7611   2.46823   88.6586   88.7919      b   13.0525   2.41093   22.5607   13.2733   26.5089
